code,english_name,bangla_name,edible_portion_coefficient,energy_kcal,energy_kj,water_g,protein_g,fat_g,carbohydrate_available_g,total_dietary_fibre_g,ash_g,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,vitamin_a_mcg,retinol_mcg,beta_carotene_equiv_mcg,vitamin_d_mcg,vitamin_e_mg,thiamin_mg,riboflavin_mg,niacin_equiv_mg,vitamin_b6_mg,folate_mcg,vitamin_c_mg,source_pages
04_0019,Fenugreek leaves ,মেথি শাক,0.59,50,210,86.1,4.4,0.9,5,2.1,1.5,395,1.9,41,51,31,76,0.34,0.1,,,,,,,,,,,,"65,66"
04_0020,Indian spinach ,পুঁই শাক,0.71,25,105,91.8,2.4,0.3,2.1,2.2,1.2,111,2.2,179,31,187,69,0.35,0.06,,,,,,,,,,,,"65,66"
04_0021,Jute leaves ,পাট শাক,0.69,32,134,87.6,2.9,0.3,1.7,5.8,1.8,120,9.7,42,60,225,60,1.47,0.02,,,,,,,,,,,,"65,66"
04_0022,Pumpkin leaves ,মিষ্টিকুমড়া শাক,0.71,29,122,90.8,2.4,0.4,2.8,2.1,1.4,40,2.2,38,104,436,11,0.2,0.13,,,,,,,,,,,,"65,66"
04_0023,Radish leaves ,মুলো শাক,0.9,32,135,90.7,1.8,0.7,3.4,2.6,0.8,147,2.8,20,41,260,70,0.48,0.07,,,,,,,,,,,,"65,66"
04_0024,Slender amaranth leaves ,নটে শাক,0.79,47,196,83.9,4.1,0.5,4.3,4.4,2.8,227,5.4,32,50,670,56,1.2,0.22,,,,,,,,,,,,"65,66"
04_0025,Spinach ,পালং শাক,0.87,26,107,90.8,3,0.5,0.9,2.9,2,90,2.2,52,45,471,171,0.9,0.1,,,,,,,,,,,,"65,66"
04_0026,Sweet potato leaves ,মিষ্টি আলু শাক,1,45,185,84,4,0.8,1.8,7.3,2.1,194,2.7,50,81,497,47,0.32,0.19,,,,,,,,,,,,"65,66"
04_0030,Water spinach ,কলমি শাক,0.71,43,179,87.1,1.9,0.4,6,3.7,0.9,107,2.2,19,36,207,107,0.51,0.06,,,,,,,,,,,,"68,69"
04_0031,Watercress ,হেলেঞ্চা শাক,0.75,49,206,87.4,2,0.5,8.8,0.5,0.8,31,1.9,27,52,230,49,0.52,0.02,530,0,6360,0,1.46,0.04,0.16,1,0.129,45,43,"68,69"
04_0032,red amaranth leaves,লাল শাক সিদ্ধ,1,37,155,86.8,5.3,0.4,0.6,5,2,287,5.3,129,34,154,53,0.85,0.25,,,,,,,,,,,,"62,63"
04_0033,Boiled (without salt) green amaranth leaves,সবুজ ডাঁটা শাক সিদ্ধ ,1,30,123,89.3,2.3,0.3,1.7,5.1,1.1,192,7.4,129,50,190,32,0.86,0.14,,,,,,,,,,,,"62,63"
04_0034,Boiled (without salt) slender amaranth leaves,নটে শাক সিদ্ধ ,1,55,232,81.1,4.8,0.6,5.1,5.1,3.3,255,4.8,23,53,395,50,1.06,0.25,,,,,,,,,,,,"65,66"
04_0035,Boiled (without salt) spinach,পালং শাক সিদ্ধ ,1,47,195,83.1,5.4,0.9,1.6,5.3,3.6,157,3.1,57,74,430,235,1.23,0.16,,,,,,,,,,,,"65,66"
04_0036,Boiled (without salt) indian spinach,পুঁই শাক সিদ্ধ ,1,47,195,83.1,5.4,0.9,1.6,5.3,3.6,140,2.2,142,37,123,69,0.35,0.08,,,,,,,,,,,,"65,66"
05_0001,Colocasia/Taro corm ,কচুর মুখী,0.84,103,435,71.1,2.2,0.2,21,4.1,1.4,35,0.7,33,84,591,11,0.23,0.17,4,0,45,0,2.38,0.12,0.03,1.1,0.283,22,6.1,"73,74,75"
05_0002,Colocasia/Taro/Tannia cormel ,দুধ কচু,0.87,101,427,71.9,2.2,0.2,20.6,4.1,1,40,0.9,33,33,591,9,0.23,0.17,,,,,,,,,,,,"73,74,75"
05_0003,Elephant foot corm ,ওল কচু,0.8,74,314,78.7,1.2,0.1,15.1,4.1,0.8,50,0.6,33,84,591,9,0.23,0.17,,,,,,,,,,,,"73,74,75"
05_0004,Giant taro corm ,মানকচু,0.84,82,346,76.7,1.5,0.2,16.6,4.1,1,46,1,33,72,591,9,0.23,0.17,,,,,,,,,,,,"73,74,75"
05_0005,Potato Diamond,ডায়মন্ড আলু ,0.84,66,281,81.7,1.2,0.2,14,2.1,0.9,11,0.5,21,40,286,16,0.79,0.43,2,0,27,0,0.02,0.08,0.09,0.8,0.277,18,19.1,"73,74,75"
05_0006,Sweet potato Komola Sundori ,মিষ্টি আলু (কমলা সুন্দরী),0.84,97,409,73.7,0.9,0.3,21.1,3,1,30,0.6,25,38,214,22,0.3,0.15,719,0,8630,0,0.26,0.08,0.06,0.8,0.209,11,23,"73,74,75"
05_0008,Sweet potato red skin ,লাল মিষ্টি আলু ,0.84,104,441,71.8,0.6,0.3,23.4,3,1,32,1.4,27,50,232,22,0.4,0.09,3,0,39,0,0.26,0.08,0.06,0.8,0.209,11,35.1,"73,74,75"
05_0009,Sweet potato white flesh ,মিষ্টি আলু সাদা,0.84,98,415,73.5,0.6,0.3,21.8,3,0.8,25,1.5,25,50,232,21,0.38,0.1,1,0,17,0,0.26,0.08,0.06,0.8,0.209,11,20.3,76
05_0010,Yam tuber,চুপড়ি আলু,0.81,97,410,73.1,1.5,0.2,20.3,4.1,0.8,17,0.8,17,35,353,9,0.34,0.18,3,0,30,0,0.46,0.11,0.03,0.8,0.293,23,12.8,76
05_0011,Boiled colocasia/taro,কচুর মুখী (সিদ্ধ),1,115,487,67.5,2.5,0.2,23.6,4.6,1.6,40,0.8,35,88,530,12,0.23,0.17,4,0,48,0,2.67,0.1,0.03,0.9,0.238,16,4.8,"73,74,75"
05_0012,Boiled potato,গোল আলু (সিদ্ধ),1,67,284,81.5,1.2,0.2,14.2,2.1,0.9,14,0.6,20,38,232,15,0.72,0.39,2,0,26,0,0.02,0.06,0.08,0.6,0.21,11,13.5,"73,74,75"
05_0017,Boiled dudh kochu,মৌলভী কচু (সিদ্ধ),1,113,478,68.5,2.4,0.2,23.1,4.6,1.2,46,1.1,35,34,530,10,0.23,0.17,,,,,,,,,,,,"73,74,75"
05_0018,Boiled ole kochu,ওল কচু (সিদ্ধ),1,83,352,76.1,1.3,0.1,16.9,4.6,0.9,56,0.7,35,88,530,10,0.23,0.17,,,,,,,,,,,,"73,74,75"
05_0019,Boiled giant taro,মান কচু ,1,92,388,73.9,1.6,0.2,18.6,4.6,1.1,52,1.1,35,75,530,10,0.23,0.17,,,,,,,,,,,,"73,74,75"
05_0020,yam,বন আলু ,1,109,460,69.8,1.7,0.2,22.8,4.6,0.9,21,0.9,19,36,316,10,0.34,0.18,3,0,32,0,0.52,0.1,0.03,0.6,0.246,16,10,76
05_0021,Mashed potato (with salt),আলু সিদ্ধ (লবণ সহ),1,84,354,77,1.4,0.8,16.6,2.5,1.8,14,0.6,23,44,273,310,0.85,0.47,3,0,32,0,0.11,0.07,0.1,0.4,0.247,14,16.5,"73,74,75"
06_0001,Sunflower seeds dried,সূর্যমুখী বীজ,0.54,552,2290,4.7,17.1,40.1,26.4,8.6,3,78,5.3,325,660,645,9,5,1.8,2,0,23,0,35.23,1.48,0.36,9.1,1.345,227,0,"80,81,82"
06_0002,Cashew nuts,হিজলি বাদাম,1,595,2470,5.9,18,46.9,23.5,3.3,2.4,50,5,292,593,660,12,5.78,2.2,1,0,6,0,0.85,0.63,0.19,5.7,0.417,25,0,"80,81,82"
06_0003,Chilgoza pine dried,চিলগোজা,1,712,2940,2.9,13.7,68.4,8.7,3.7,2.7,41,4.9,251,575,597,2,6.45,1.32,1,0,18,0,13.65,0.35,0.25,6.2,0.094,34,0.5,"80,81,82"
06_0004,Coconut milk,নারিকেল দুধ,1,213,876,72,2.1,21.7,1.2,2.2,0.8,18,3,45,97,227,14,0.6,0.23,0,0,0,0,0.7,0.03,0.01,0.7,0.028,15,1.3,"80,81,82"
06_0005,Coconut desiccated,নারিকেল শুকনা,1,652,2680,4.3,5.6,62.2,8.5,17.8,1.6,32,4.7,90,185,660,28,0.9,0.78,0,0,0,0,1.26,0.06,0.02,2.9,0.09,13,0,"80,81,82"
06_0006,Coconut mature kernel,নারিকেল,0.78,389,1600,42.9,3.3,36.7,6.9,9.2,1,16,2.2,37,117,424,16,0.74,0.31,0,0,0,0,0.73,0.05,0.04,1.1,0.054,23,3.3,"80,81,82"
06_0007,Groundnuts/Peanut ,চিনা বাদাম,1,585,2430,5.3,22.5,46.6,14.8,8.5,2.4,76,2.9,189,403,688,10,3.39,1.08,0,0,0,0,10.09,0.77,0.12,18.4,0.348,175,0,"80,81,82"
