source,code,name,lang,lang_bn,grup,enerc_kcal,water,protcnt,fatce,cho,fibtg,ash,ca,fe,mg,p,k,na,zn,cu,vita,retol,cartbeq,vitd,vite,thia,ribf,nia,vitb6c,folsum,vitc
FCT_2014,09_0041,"Minnow, Finescale razorbelly, dried",Fulchela shutki,শুকনো ফুলচেলা মাছ,Marine Fish,412,4.7,64.8,17,0,0,13.4,3.59,0.0067,,0.844,1.43,,,,,,,,,,,,,,
FCT_2014,09_0042,"Minnow, Large scale razorbelly, raw",Narkeli chela,নারকেলি চেলা মাছ,Marine Fish,119,71.7,18.1,5.2,0,0,2.1,0.352,0.0054,0.041,0.202,0.578,0.156,0.0031,0.00012,,,,,,9e-05,0.00011,0.0058,0.000317,,
FCT_2014,09_0043,"Mola carplet, whole, eyes included, raw",Mola mach,চোখ সহ মলা মাছ,Marine Fish,108,77.5,17.1,4.4,0,0,2.7,0.767,0.0038,0.03,0.44,0.178,0.043,0.00319,,0.00268,,,,,,,,,,
FCT_2014,09_0044,"Mrigal carp, eyes included, raw",Mrigel mach,চোখ সহ মৃগেল মাছ,Marine Fish,102,78.4,18.6,3,0,0,1.6,0.655,0.0018,0.038,0.28,0.236,0.063,0.00029,2e-05,1.1e-05,1.1e-05,,,,7e-05,8e-05,0.0007,0.000242,1.7e-05,
FCT_2014,09_0045,"Mullet, Gold spot, raw",Parse mach,পার্সে বা বাটা মাছ,Marine Fish,120,70.7,18.7,5,0,0,3.5,1.05,0.0021,0.042,0.49,0.764,0.041,0.00143,0.00014,,,,,,0.0001,0.00011,0.0008,0.000328,,
FCT_2014,09_0046,"Mussel/Clam, mixed species, raw",Jhinuk,ঝিনুক,Marine Fish,60,83.3,11.6,1.5,0,0,0.9,0.031,0.0013,0.015,0.157,0.037,0.477,0.0004,4e-05,0.000145,0.000145,,,0.00109,1e-05,3e-05,0.0058,1e-05,4e-06,
FCT_2014,09_0047,"Pangas, without bones, raw",Pangash mach,পাঙাশ মাছ (কাঁটা ছাড়া),Marine Fish,162,70.8,15.9,11,0,0,1,0.014,0.0001,0.029,0.13,0.169,0.046,0.00185,7e-05,5e-06,5e-06,,,,0.00015,6e-05,0.0045,0.000107,,
FCT_2014,09_0048,"Perch, Mud, raw",Meni mach,মেনি মাছ,Marine Fish,99,75.8,15.8,4,0,0,3.8,0.516,0.0019,,0.429,0.268,0.057,0.00142,4e-05,,,,,,,,,,,
FCT_2014,09_0049,"Pomfret, Black, raw",Black Pomfret,কালো রূপচাঁদা,Marine Fish,112,78.9,19.6,3.7,0,0,1.1,0.286,0.0009,0.025,0.306,0.166,0.131,0.00048,2e-05,,,,,,0.00013,0.0002,0.0019,,,
FCT_2014,09_0050,"Pomfret, Chinese Silver, raw",Rupchanda (Chinese),রূপচাঁদা চাইনিজ (সাদা),Marine Fish,103,74.9,15.9,4.4,0,0,1.5,0.2,0.0004,0.026,0.29,0.183,0.145,0.00059,3e-05,,,,,,,0.00017,0.003,,,
FCT_2014,09_0051,"Pomfret, Silver, dried",Rupchanda shutki,রূপচাঁদা সাদা শুঁটকি,Marine Fish,349,21.6,62.1,11.2,0,0,3.8,,,,,,,,,,,,,,,,,,,
FCT_2014,09_0052,"Pomfret, Silver, without bones, raw",Rupchanda mach,রূপচাঁদা সাদা,Marine Fish,108,76.5,17.9,4,0,0,1.5,0.013,0.0005,0.025,0.17,0.19,0.151,0.00027,9e-05,,,,,,1e-05,8e-05,0.0018,,,
FCT_2014,09_0053,"Prawn, Birma river prawn, raw",Birma chingri,বিরমা নদীর চিংড়ি,Marine Fish,86,78.5,18.8,1.3,0,0,1.4,0.016,0.0006,0.019,0.141,0.375,0.098,0.00106,0.00057,2e-06,1e-06,7e-06,,,,,,,,
FCT_2014,09_0054,"Prawn, Giant river prawn, raw",Golda chingri,গলদা চিংড়ি,Marine Fish,102,74.8,20.9,2,0,0,1.2,0.018,0.0007,0.022,0.166,0.441,0.116,0.00125,0.00068,2e-06,2e-06,1.1e-05,,,,,,,,
FCT_2014,09_0055,"Prawn, Giant tiger prawn, raw",Chingri,বাগদা চিংড়ি,Marine Fish,92,78.8,16.5,2.9,0,0,1.6,0.017,0.0006,0.043,0.141,0.423,0.117,0.00173,0.00063,,,,,,,,,,,
FCT_2014,09_0056,"Prawn, Hairy river prawn, raw",Chingri mach,চিংড়ি,Marine Fish,75,79.9,17.6,0.6,0,0,1.4,0.015,0.0005,0.018,0.132,0.352,0.092,0.001,0.00054,1e-06,,3e-06,,,,,,,,
FCT_2014,09_0057,"Prawn, Indian white prawn, raw",Golda chingri,মিঠা পানির চিংড়ি,Marine Fish,95,79,16.4,3.3,0,0,1.7,0.304,0.0005,0.041,0.922,0.545,0.196,0.00225,0.00052,,,,,,,,,,,
FCT_2014,09_0058,"Prawn, Monsoon river prawn, raw",Chatka chingri,ছাটকা চিংড়ি,Marine Fish,79,79.7,18.2,0.7,0,0,1.3,0.015,0.0005,0.018,0.133,0.355,0.093,0.00101,0.00054,1e-06,1e-06,4e-06,,,,,,,,
FCT_2014,09_0059,"Rohu, river, raw",Noder Rui,নদীর রুই,Marine Fish,90,76.7,16.6,2.7,0,0,1.2,0.65,0.001,0.012,0.175,0.288,0.101,0.00113,0.00035,,,,,,5e-05,7e-05,0.0059,0.000112,,
FCT_2014,09_0060,"Rohu, without bones, raw",Rui mach,রুই (কাঁটা ছাড়া),Marine Fish,105,76.3,20.6,2.6,0,0,0.9,0.03,0.0004,0.037,0.175,0.309,0.038,0.00113,0.00035,4e-06,3e-06,6e-06,,,0.00061,0.0001,0.0059,0.000112,,
FCT_2014,09_0061,"Shrimp, Speckled, raw",Harina chingri,হরিনা চিংড়ি,Marine Fish,81,78.9,17,1.4,0,0,2,0.421,0.0006,0.026,0.941,0.503,0.117,0.00136,0.00056,,,,,,,,,,,
FCT_2014,09_0062,"Silver carp, without bones, raw",Silver carp mach,সিলভার কার্প মাছ (কাঁটা ছাড়া),Marine Fish,123,75.6,17.5,6,0,0,1.1,0.022,0.0015,0.027,0.182,0.225,0.115,0.00028,2e-05,,,,,,8e-05,9e-05,0.005,0.000273,,
FCT_2014,09_0063,"Silver needle fish, eyes included, raw",Kakila mach,চোখ সহ কাকিলা মাছ,Marine Fish,94,76.9,16.6,3.1,0,0,3.4,0.21,0.0008,0.025,0.47,0.243,0.055,0.00094,0.0001,6.5e-05,6.1e-05,5.6e-05,,0.00195,1e-05,9e-05,0.0125,0.0009,1e-06,
FCT_2014,09_0064,"Spotted snakehead, raw",Taki mach,টাকি মাছ (কাঁটা ছাড়া),Marine Fish,91,78.2,17.3,2.4,0,0,4,0.624,0.0015,0.035,0.44,0.245,0.068,0.00108,0.00016,0.000191,9.1e-05,2.5e-05,,,4e-05,5e-05,0.002,0.000244,,
FCT_2014,09_0065,"Stinging catfish, raw",Shing mach,শিং মাছের (কাঁটা ছাড়া),Marine Fish,101,76.7,17.2,3.5,0,0,2.5,0.319,0.0021,,0.304,0.434,0.083,0.00055,,1.6e-05,1.5e-05,1.1e-05,,,8e-05,9e-05,0.0006,0.000261,,
FCT_2014,09_0066,"Stone roller, raw",Tatkinni mach,টাটকিনি,Marine Fish,97,76.2,15.3,3.9,0,0,2.6,0.195,0.0022,0.052,0.124,0.834,0.035,0.00109,9e-05,,,,,,8e-05,7e-05,0.0048,0.000266,,
FCT_2014,09_0067,"Striped snake-head, raw",Shol mach,শোল মাছ (কাঁটা ছাড়া),Marine Fish,101,78.4,17.7,3.3,0,0,1.4,0.104,0.001,0.043,0.13,0.362,0.05,0.00031,0.0002,,,,,,4e-05,5e-05,0.002,0.000242,,
FCT_2014,09_0068,"Tilapia, without bones, raw",Tilapia mach,তেলাপিয়া মাছ (কাঁটা ছাড়া),Marine Fish,110,76.2,20.8,3,0,0,1.1,0.019,0.0005,0.036,0.35,0.341,0.055,0.0014,0.00011,2e-06,2e-06,,5.5e-06,0.00071,0.00097,9e-05,0.008,0.000111,2.4e-05,
FCT_2014,09_0069,"Tuna, without bones, raw",Tuna mach,টুনা মাছ (কাঁটা ছাড়া),Marine Fish,118,72,25,2,0,0,1.3,0.016,0.0013,0.033,0.312,0.427,0.047,0.00027,0.00015,3.1e-05,3.1e-05,,3.12e-06,,0.00019,0.00013,0.0193,0.00085,9e-06,
FCT_2014,09_0070,"Walking catfish, without bones, raw",Magur mach,মাগুর মাছ (কাঁটা ছাড়া),Marine Fish,103,77.6,15.6,4.6,0,0,1.1,0.027,0.0008,0.025,0.18,0.344,0.071,0.00053,6e-05,1.5e-05,1e-05,6.4e-05,,,3e-05,6e-05,0.0017,0.000251,,
FCT_2014,10_0016,Beef handi kabab,Handi kabab (goru),হাঁড়ি কাবাব (গরু),Animal Meat,233,60.4,12.7,16.9,6.6,1.8,1.7,0.025,0.002,0.025,0.088,0.22,0.345,0.00302,0.00021,1.2e-05,7e-06,6.6e-05,3e-07,0.00052,4e-05,0.001,0.0018,0.000109,1e-05,0.0022
FCT_2014,10_0001,"Beef liver, raw",Gorur Mete/Kolija,গরুর কলিজা,Animal Meat,130,70.8,20.4,3.6,3.9,0,1.3,0.004,0.0035,0.018,0.387,0.313,0.069,0.00371,0.0015,0.004968,0.004948,0.000244,1.2e-06,0.00038,0.00019,0.00276,0.0132,0.001083,0.00029,0.0013
FCT_2014,10_0002,"Beef, meat, lean, boneless, raw",Goru mangsho,হাড় ও চর্বি ছাড়া গরুর মাংস,Animal Meat,103,76,20.7,2.3,0,0,1,0.004,0.002,0.015,0.19,0.395,0.052,0.00352,0.00014,,,,4e-07,0.00023,6e-05,0.00019,0.01003,0.00032,7e-06,
FCT_2014,10_0003,"Beef, meat, 15-20% fat, boneless, raw",Goru mangsho (char bi),হাড় ছাড়া গরুর মাংস,Animal Meat,207,65.4,19.7,14.2,0,0,0.9,0.005,0.0022,0.022,0.17,0.309,0.069,0.0046,7e-05,1.5e-05,1.5e-05,,6e-07,0.00035,5e-05,0.0002,0.0093,0.00032,9e-06,
FCT_2014,10_0004,"Beef, mince, lean, raw",Goru keema,গরুর মাংসের কিমা,Animal Meat,126,75,20.3,5,0,0,1,0.009,0.0024,0.022,0.198,0.346,0.066,0.00509,8e-05,,,,1e-07,0.00028,4e-05,0.00016,0.0055,0.000392,5e-06,
FCT_2014,10_0005,"Buffalo meat, raw",Moish mangsho,মহিষের মাংস,Animal Meat,95,78.7,19.4,1.9,0,0,1,0.012,0.0016,0.032,0.189,0.297,0.053,0.00193,0.00015,,,,1e-07,5e-05,4e-05,0.0002,0.006,0.00053,8e-06,
FCT_2014,10_0006,"Chicken breast, without skin, raw",Murgi buke mangsho,মুরগির বুকের মাংসের চামড়া ছাড়ানো,Animal Meat,106,72.9,22.3,1.8,0,0,1.1,0.015,0.0005,0.032,0.173,0.315,0.037,0.0017,6e-05,2.5e-05,2.5e-05,,1e-07,0.00012,0.00012,7e-05,0.0114,0.000315,7e-06,
FCT_2014,10_0007,"Chicken leg, without skin, raw",Murgi raner mangsho,মুরগির রানের মাংসের চামড়া ছাড়ানো,Animal Meat,128,71.9,19.2,5.7,0,0,1,0.018,0.001,0.029,0.18,0.299,0.055,0.00209,0.00022,2.3e-05,2.3e-05,,1e-07,0.00024,9e-05,0.00012,0.0095,0.00035,4e-06,
FCT_2014,10_0008,"Chicken liver, raw",Murgir Mete/Kolija,মুরগির কলিজা,Animal Meat,114,76.5,16.9,4.8,0.7,0,1.1,0.018,0.009,0.019,0.297,0.23,0.071,0.0025,0.00029,0.003296,0.00329,6.7e-05,,0.0007,0.00031,0.00178,0.0097,0.000853,0.000588,0.0179
FCT_2014,10_0009,"Duck, meat, raw",Haasher Mangsho,হাঁসের মাংস,Animal Meat,130,72.3,21.6,4.8,0,0,1.2,0.004,0.0024,0.019,0.235,0.271,0.074,0.0019,0.00025,2.4e-05,2.4e-05,,1e-07,2e-05,0.00036,0.00045,0.0088,0.00034,2.5e-05,
FCT_2014,10_0010,"Frog, legs, raw",Bang,ব্যাঙ,Animal Meat,68,81.9,16.4,0.3,0,0,1.4,0.018,0.0015,0.02,0.147,0.285,0.058,0.00137,5e-05,1.5e-05,1.5e-05,,2e-07,0.001,0.00014,0.00025,0.0012,0.00012,1.5e-05,
FCT_2014,10_0011,"Goat meat, lean, raw",Khashi mangsho,খাসির মাংস,Animal Meat,118,74.2,21.4,3.6,0,0,1.1,0.012,0.0028,0.027,0.193,0.385,0.082,0.004,0.00026,,,,,0.00018,0.00011,0.00049,0.0038,0.0004,5e-06,
FCT_2014,10_0012,"Lamb/mutton, meat, moderately fat, raw",Verar mangsho,ভেড়ার মাংস,Animal Meat,196,71.5,18.5,13.5,0,0,1.3,0.013,0.0022,0.019,0.15,0.136,0.041,0.00392,8e-05,9e-06,9e-06,,2e-07,0.00031,0.00018,0.00014,0.0041,0.000125,6e-06,
FCT_2014,10_0013,"Lamb/Mutton, liver, raw",Bherar Mete/Kolija,ভেড়ার কলিজা,Animal Meat,150,70.4,19.3,7.5,1.3,0,1.5,0.01,0.0063,0.019,0.38,0.29,0.073,0.004,0.00967,0.00825,0.00824,0.000103,2e-06,0.00093,0.00036,0.0017,0.0207,0.0009,0.000205,0.02
FCT_2014,10_0014,"Pigeon meat, raw",Payra Mangsho,কবুতরের মাংস,Animal Meat,137,70.4,23.3,4.9,0,0,1.4,0.012,0.0025,0.03,0.29,0.283,0.06,0.00294,0.00047,1.8e-05,1.8e-05,,,,0.00026,0.00026,0.008,0.00058,4e-06,0.0056
FCT_2014,10_0015,"Pork, meat, <5 % fat, raw",Shuarer mangsho,শুয়োরের মাংস,Animal Meat,114,77.4,18.7,4.4,0,0,1,0.03,0.0022,0.018,0.2,0.261,0.06,0.00257,7e-05,,,,4e-08,,0.00053,0.00016,0.0052,0.000311,1e-06,
FCT_2014,11_0001,"Egg, chicken, farmed, raw",Murgi dim (farm),ফার্মের মুরগির ডিম,Egg and Egg Products,139,72.3,14.5,9,Tr,0,0.8,0.029,0.0015,0.021,0.22,0.11,0.116,0.00236,0.0003,0.000165,0.000165,,1.9e-06,0.00083,0.00018,0.0004,0.0038,0.000149,5e-05,
FCT_2014,11_0005,"Egg, chicken, farmed, boiled (without salt)",Murgi dim siddho,মুরগির ডিম সিদ্ধ (লবণ ছাড়া),Egg and Egg Products,158,68.5,16.5,10.2,0,0,0.9,0.035,0.0018,0.024,0.238,0.12,0.128,0.00254,0.00033,0.000178,0.000178,,2e-06,0.00094,0.00017,0.00036,0.0034,0.000136,4.5e-05,
FCT_2014,11_0002,"Egg, chicken, native, raw",Deshi Murgir Dim,দেশি মুরগির ডিম,Egg and Egg Products,158,76.1,13.3,11.6,Tr,0,0.9,0.06,0.0017,0.011,0.22,0.097,0.135,0.00203,0.0003,0.000213,0.000213,,2.4e-06,0.0012,0.00018,0.0004,0.0038,0.000149,5e-05,
FCT_2014,11_0006,"Egg, chicken, native, boiled (without salt)",Deshi murgi dim siddho,দেশি মুরগির ডিম সিদ্ধ (লবণ ছাড়া),Egg and Egg Products,179,72.9,15.1,13.2,0,0,1,0.068,0.0019,0.013,0.238,0.105,0.148,0.00219,0.00033,0.000229,0.000229,,2.6e-06,0.00136,0.00017,0.00036,0.0034,0.000136,4.5e-05,
FCT_2014,11_0003,"Egg, chicken, native, yolk, raw",Deshi murgi dimer kusoom,দেশি মুরগির ডিমের কুসুম,Egg and Egg Products,325,51.9,16,27.8,2.6,0,1.7,0.12,0.0048,0.011,0.477,0.113,0.048,0.00333,0.00013,0.000496,0.000486,0.000124,5.4e-06,0.00416,0.00023,0.00049,0.0041,0.0003,0.000109,
FCT_2014,11_0004,"Egg, duck, whole, raw",Hasher dim,হাঁসের ডিম,Egg and Egg Products,188,69.7,13.5,14.3,1.4,0,1.1,0.065,0.0024,0.011,0.22,0.222,0.134,0.00141,6e-05,0.000362,0.00036,2.1e-05,1.8e-06,0.00139,0.00012,0.00026,0.0047,0.00025,8e-05,
FCT_2014,11_0007,"Egg, duck, whole, boiled (without salt)",Hasher dim siddho,হাঁসের ডিম সিদ্ধ (লবণ ছাড়া),Egg and Egg Products,214,65.6,15.3,16.2,1.6,0,1.2,0.073,0.0027,0.013,0.238,0.24,0.147,0.00152,7e-05,0.000391,0.000389,2.2e-05,1.9e-06,0.00158,0.00011,0.00024,0.0045,0.000227,7.3e-05,
FCT_2014,12_0001,"Buttermilk, fluid, low fat",Ghol,ঘোল,Milk and Milk Products,33,92.2,3.4,0.7,3.1,0,0.6,0.103,,0.012,0.092,0.152,0.068,0.00041,1e-05,8e-06,8e-06,1e-06,,1e-05,4e-05,0.00017,0.0009,4.2e-05,6e-06,0.0007
FCT_2014,12_0002,"Cheese, cottage, 25% fat",Paneer,পনির,Milk and Milk Products,346,40.3,24.6,25.1,5.4,0,4.6,0.79,0.0003,0.022,0.414,0.083,0.509,0.00355,3e-05,0.000205,0.00019,0.000182,3e-07,0.00049,2e-05,0.00047,0.0065,,4e-05,
FCT_2014,12_0003,"Curd, sweetened, whole milk",Mishti doi,মিষ্টি দই,Milk and Milk Products,94,80.6,3.2,4,11.4,0,0.8,0.103,0.0001,0.013,0.09,0.131,0.051,0.00045,5e-05,3.2e-05,3.1e-05,1.4e-05,,8e-05,5e-05,0.00016,0.0008,5.3e-05,9e-06,0.001
FCT_2014,12_0004,"Milk, buffalo, whole fat",Dudha (Mosher),মহিষের দুধ,Milk and Milk Products,101,83.3,3.8,7.5,4.7,0,0.8,0.206,0.0002,0.018,0.246,0.178,0.052,0.00022,5e-05,4.7e-05,4.4e-05,3e-05,,,5e-05,0.00022,0.0001,2.3e-05,6e-06,0.0017
FCT_2014,12_0005,"Milk, cow, powder, skimmed","Goru dudh (gura, skimmed)",গরু মাখন তোলা/ননীতলা,Milk and Milk Products,358,3.8,37.6,1,49.8,0,7.9,1.37,0.0011,0.11,0.956,1.6,0.435,0.0047,0.0001,,,,,0.0001,0.00045,0.00164,0.0097,0.000645,2.1e-05,0.005
FCT_2014,12_0006,"Milk, cow, powder, whole","Goru dudh (gura, full fat)",ননীযুক্ত গরুর গুঁড়া দুধ,Milk and Milk Products,497,3.2,26.6,26.7,37.5,0,5.9,0.959,0.0007,0.092,0.758,1.18,0.365,0.00371,6e-05,0.000238,0.000228,0.000124,,0.00059,0.00031,0.00137,0.0068,0.000276,3.8e-05,0.0107
FCT_2014,12_0007,"Milk, cow, skimmed",Goru dudh (non fat),গরুর দুধ মাখন তোলা/ননিহীন,Milk and Milk Products,30,92.1,3.1,0.1,4.1,0,0.6,0.103,0.0001,0.013,0.09,0.131,0.051,0.00045,5e-05,,,,,1e-05,6e-05,0.00028,0.0008,5.3e-05,9e-06,0.001
FCT_2014,12_0008,"Milk, cow, whole fat (pasteurized, UTH)",Goru dudh (pasteurized),গরুর দুধ ননি সহ,Milk and Milk Products,63,88.3,3.1,3.7,4.3,0,0.6,0.103,0.0001,0.013,0.09,0.131,0.051,0.00045,5e-05,3.2e-05,3e-05,1.6e-05,,8e-05,6e-05,0.00028,0.0008,5.3e-05,9e-06,0.002
FCT_2014,12_0009,"Milk, cow, whole, condensed, sweetened",Condensed milk,কনডেন্সড মিল্ক (গরুর),Milk and Milk Products,334,26.5,8.2,9.4,54,0,1.8,0.287,0.0002,0.028,0.247,0.366,0.134,0.00097,2e-05,9.5e-05,9.2e-05,4.2e-05,2e-07,0.00019,9e-05,0.00044,0.0023,5.1e-05,1.3e-05,0.0033
FCT_2014,12_0010,"Milk, goat, combined breeds",Chagol dudh,ছাগলের দুধ,Milk and Milk Products,68,87.2,3.5,4.1,4.3,0,0.9,0.152,0.0002,0.014,0.111,0.204,0.05,0.0003,5e-05,3.2e-05,3e-05,1.8e-05,6e-08,3e-05,5e-05,9e-05,0.001,4.6e-05,1e-06,0.0012
FCT_2014,12_0011,"Milk, human, colostrum, raw",Shal dudh,শালদুধ,Milk and Milk Products,58,88.2,2,2.6,6.6,0,0.6,0.028,0.0001,0.003,0.014,0.07,0.047,0.0006,5e-05,0.000166,0.000155,0.000135,,0.0013,,3e-05,0.001,,2e-06,0.007
FCT_2014,12_0012,"Milk, human, mature, raw",Mayer dudh,মায়ের দুধ,Milk and Milk Products,69,87.4,1.2,4,7.2,0,0.2,0.032,0.0001,0.003,0.015,0.056,0.016,0.00026,4e-05,5.6e-05,5.4e-05,1.9e-05,1e-07,0.00034,2e-05,3e-05,0.0007,1e-05,5e-06,0.0043
FCT_2014,12_0013,Payesh,Payesh,পায়েস,Milk and Milk Products,205,53.8,4.3,4.7,36.2,0.2,0.9,0.132,0.0002,0.031,0.12,0.169,0.065,0.00065,0.00011,3.9e-05,3.8e-05,2e-05,,0.0001,7e-05,0.00033,0.0003,5.6e-05,7e-06,0.0017
FCT_2014,13_0001,"Butter, salted",Makhon,মাখন,Edible Oils and Fats,733,15.9,0.9,81,0.2,0,2.1,0.024,,0.002,0.024,0.024,0.714,9e-05,,0.000633,0.00062,0.000158,1.5e-06,0.00185,1e-05,3e-05,4e-05,3e-06,3e-06,
FCT_2014,13_0002,Cottonseed oil,Tulabijer tel,তুলাবীজের তেল,Edible Oils and Fats,900,0,0,100,0,0,0,,,,,,,,,,,,,0.04277,,,,,,
FCT_2014,13_0003,"Fish oil, cod liver",Cod liver oil,কড লিভার তেল,Edible Oils and Fats,900,0,0,100,0,0,0,0.001,0.0001,,,,,6e-05,1e-05,0.0025,0.03,,0.00025,0.03,,,,,,
FCT_2014,13_0004,"Ghee, cow",Ghee (goru),গরুর ঘী,Edible Oils and Fats,898,0.1,0,99.8,0,0,0.1,0.001,0.0002,,,0.001,0.002,1e-05,1e-05,0.000642,0.0006,0.0005,1.9e-06,0.00331,,,,,,
FCT_2014,13_0005,"Ghee, vegetable",Dalda,ডালডা বা বনস্পতি,Edible Oils and Fats,900,0,0,100,0,0,Tr,0.002,0.0002,,,0.001,0.001,4e-05,1e-05,,,,,0.01027,,,,,,
FCT_2014,13_0006,Margarine,Margarine,মার্জারিন,Edible Oils and Fats,750,16,0.3,83.3,0,0,2.3,0.01,0.0001,0.002,0.01,0.052,0.504,5e-05,1e-05,0.00081,0.00078,0.00036,,0.0085,1e-05,3e-05,,3e-06,2e-06,
FCT_2014,13_0007,"Mayonnaise, salted",Mayonnaise,মেয়োনেজ তেল,Edible Oils and Fats,732,16.4,1.5,80.6,0,0,1.5,0.008,0.0003,0.004,0.043,0.025,0.488,0.00025,3e-05,7.3e-05,7.3e-05,,,0.01687,1e-05,5e-05,0.00035,0.0001,9e-06,
FCT_2014,13_0008,Mustard oil,Shorisher tel,সরিষার তেল,Edible Oils and Fats,900,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,
FCT_2014,13_0009,Palm oil,Palm tel,পাম তেল,Edible Oils and Fats,900,0,0,100,0,0,0,,,,,,,,,,,,,0.03312,,,,,,
FCT_2014,13_0010,Peanut oil,Badam tel,চিনা বাদামের তেল,Edible Oils and Fats,900,0,0,100,0,0,0,,,,,,,1e-05,,,,,,0.01516,,,,,,
FCT_2014,13_0011,Sesame oil,Tiler tel,তিলের তেল,Edible Oils and Fats,900,0,0,100,0,0,0,,,,,,,,,,,,,0.0014,,,,,,
FCT_2014,13_0012,Soybean oil,Soyabean tel,সয়াবিন তেল,Edible Oils and Fats,900,0,0,100,0,0,0,,0.0001,,,,,1e-05,,,,,,0.01606,,,,,,
FCT_2014+BD,14_0001,Coconut water,Daberjal,ডাবের পানি,Miscellaneous Foods,20,94.5,0.6,0.3,3.2,1.1,0.3,0.02,0.0002,0.025,0.018,0.26,0.096,0.0001,4e-05,,,,,,6e-05,3e-05,0.0001,3.2e-05,3e-06,0.0033
FCT_2014,14_0002,"Coffee infusion (instant with sugar and milk powder, whole fat)",Milk coffee,মিল্ক কফি,Beverages,38,91.3,0.9,0.8,6.8,0,0.3,0.033,0.0002,0.007,0.025,0.065,0.014,0.00012,1e-05,7e-06,7e-06,4e-06,,2e-05,1e-05,4e-05,0.0003,8e-06,1e-06,0.0003
FCT_2014,14_0003,"Coffee, powder",Coffee,কফি,Beverages,355,3.1,12.2,0.5,75.4,0,8.8,0.141,0.0044,0.327,0.303,3.54,0.037,0.00035,0.00014,,,,,,1e-05,7e-05,0.0282,2.9e-05,,
FCT_2014,14_0004,"Soft drinks, carbonated",Cold drink,কোমল পানীয়,Beverages,41,89.6,0,0,10.3,0,0.1,0.006,0.0003,,0.011,0.001,0.004,2e-05,1e-05,,,,,,,,,,,
FCT_2014,14_0005,Soya milk (not sweetened),Soya dudh,সয়া দুধ,Beverages,54,87.8,2.8,2.4,4.9,0.5,1.6,0.013,0.00043,0.015,0.048,0.074,0.032,0.0003,9e-05,,,,,0.00032,6e-05,5e-05,0.0008,3e-05,9e-06,
FCT_2014+BD,14_0006,Sugar cane Juice,Akher rosh,আখের রস,Sugars,33,91.7,0.7,0,7.5,0,0.1,0.008,0.0011,0.01,0.006,0.025,0.007,1e-05,6e-05,,,,,,4e-05,,,,,
FCT_2014,14_0007,"Tea infusion (with sugar and milk powder, whole fat)",Doodh cha,দুধ চা,Beverages,41,90.4,0.73,0.8,7.6,0.2,0.3,0.028,0.0004,0.005,0.023,0.048,0.014,0.00011,2e-05,6e-06,6e-06,3e-06,,,1e-05,4e-05,0.0003,7e-06,1e-06,0.0003
FCT_2014,14_0008,"Tea, infusion (with sugar)",Rong cha,রং চা বা লাল চা,Beverages,29,92.4,0.21,0,7.1,0.1,0.2,0.005,0.0001,0.004,0.003,0.064,0.003,3e-05,1e-05,,,,,,,1e-05,0.0001,4e-06,1e-06,
FCT_2014,14_0009,"Tea, powder",Cha pata,চা পাতা,Beverages,296,5.7,20.2,0,49.5,8.5,16,0.118,0.0023,0.272,0.239,6.04,0.072,0.00169,0.00055,,,,,,,0.00099,0.0108,0.000356,0.000103,
FCT_2014,14_0010,"Water, drinking",Khabar pani,খাবার পানি,Beverages,0,100,0,0,0,0,Tr,0.003,0.0001,0.002,,,0.003,2e-06,1e-06,,,,,,,,,,,
FCT_2014,15_0001,Baking powder,Baking powder,বেকিং পাউডার,Miscellaneous Foods,,6.3,5.2,0,37.8,0,50.7,11.3,,0.009,8.43,0.049,11.8,,,,,,,,,,,,,
FCT_2014,15_0002,"Betel leaves, raw",Pan,পান পাতা,Miscellaneous Foods,42,85.4,3.1,0.4,4.1,4.7,2.3,0.23,0.007,0.082,0.06,0.684,0.003,0.001,0.0003,,,,,,7e-05,3e-05,0.0007,,,0.005
FCT_2014,15_0003,Honey,Modhu,মধু,Miscellaneous Foods,326,18.2,0.3,0,81.1,0.2,0.2,0.005,0.0005,0.002,0.009,0.051,0.009,0.00049,4e-05,,,,,,,6e-05,0.00016,0.00016,1e-06,0.0014
FCT_2014,15_0004,"Jaggery, sugarcane, solid",Akher gur,আখের গুড়,Miscellaneous Foods,385,3.4,0.5,0.1,95.4,0,0.6,0.092,0.0016,0.12,0.072,0.29,0.079,0.0001,0.00075,,,,,,,4e-05,,,,
FCT_2014,15_0005,"Jaggery/Panela, date palm",Khejurer gur,খেজুরের গুড়,Miscellaneous Foods,352,9.6,1.5,0.3,85.7,0.3,2.6,0.363,,,0.062,,,,,,,,,,,,,,,
FCT_2014,15_0006,"Jagggery liquid, date palm",Nolen gur,নলেন গুড়,Miscellaneous Foods,86,78.3,0.3,0.1,20.9,0.1,0.3,0.087,,,0.015,,,,,,,,,,,,,,,
FCT_2014,15_0007,Salt,Lobon,লবণ,Miscellaneous Foods,0,Tr,0,0,0,0,99.8,,,,,,39.34,,,,,,,,,,,,,
FCT_2014,15_0008,"Sugar, white",Chini,সাদা চিনি,Miscellaneous Foods,398,0.4,0,0,99.5,0,0.1,0.012,0.0002,0.002,0.001,0.005,0.005,0.0001,0.00012,,,,,,,,,,,
